epoch,train_loss,val_loss,val_f2,val_hl
1,0.24452077784086212,0.22677181316442732,0.6100738937785076,0.09858567759813198
2,0.21405675475793706,0.20266264285712568,0.662075242959594,0.0889831571970833
3,0.20214731172328318,0.1911963959966631,0.697171115992174,0.08346658941429858
4,0.1951638446863534,0.19071208928261196,0.6980742323774217,0.0840153534827588
5,0.19067233655554003,0.19088732351723772,0.7013982418076241,0.08333939526199656
6,0.18620199083885877,0.18245292002640418,0.7120373040336011,0.0794508275489772
7,0.1828327056075308,0.18387608969270133,0.7177416135130523,0.0803667105252523
8,0.1794208583316364,0.1849770767533363,0.7085791873558112,0.08036543432974425
9,0.1768772895348457,0.1783471804793448,0.7221106402907922,0.07758588051321777
10,0.17481418118220288,0.18166427238868835,0.7273693611604677,0.07883229812607706
